"time","bus","location","direction","alg","count"
27,4,1.2999494652939,-1,"elevator",0
27,5,1.13467351704151,-1,"elevator",0
28,1,9.44367756177208,-1,"elevator",2
28,2,7.22938803412832,1,"elevator",5
28,3,6.53864850540923,1,"elevator",1
28,4,1.19131689190106,-1,"elevator",0
28,5,1.09894440053958,-1,"elevator",0
29,1,8.35881997127469,-1,"elevator",2
29,2,7.36317828478153,1,"elevator",5
29,3,7.4423261523548,1,"elevator",1
29,4,1.08268431850823,-1,"elevator",1
29,5,1.06321528403765,-1,"elevator",0
30,1,7.78718884643499,-1,"elevator",2
30,2,7.49696853543474,1,"elevator",5
30,3,7.91162437723958,1,"elevator",1
30,4,1.41758899609864,1,"elevator",1
30,5,1.02748616753572,-1,"elevator",7
31,1,7.21555772159528,-1,"elevator",2
31,2,7.63075878608795,1,"elevator",5
31,3,8.38092260212436,1,"elevator",1
31,4,1.75249367368906,1,"elevator",6
31,5,1.23149841527028,1,"elevator",7
32,1,6.74345451827279,-1,"elevator",2
32,2,7.76454903674116,1,"elevator",5
32,3,8.85022082700914,1,"elevator",1
32,4,2.00018420840234,1,"elevator",6
32,5,1.43551066300484,1,"elevator",7
33,1,6.2713513149503,-1,"elevator",2
33,2,7.89833928739437,1,"elevator",4
33,3,9.31951905189393,1,"elevator",1
33,4,2.24787474311563,1,"elevator",6
33,5,1.6395229107394,1,"elevator",7
34,1,5.79924811162781,-1,"elevator",2
34,2,8.19959821703771,1,"elevator",4
34,3,9.78881727677871,1,"elevator",0
34,4,2.49556527782892,1,"elevator",6
34,5,1.84353515847396,1,"elevator",7
35,1,5.32714490830532,-1,"elevator",2
35,2,8.50085714668104,1,"elevator",4
35,3,10,0,"elevator",0
35,4,2.74325581254221,1,"elevator",6
35,5,2.96619358576862,1,"elevator",5
36,1,4.99084617152106,-1,"elevator",2
36,2,8.80211607632438,1,"elevator",2
36,3,10,0,"elevator",0
36,4,2.9909463472555,1,"elevator",6
36,5,3.06968291325141,1,"elevator",5
37,1,4.6545474347368,-1,"elevator",2
37,2,9.53206920159671,1,"elevator",0
37,3,10,0,"elevator",0
37,4,3.86044947855856,1,"elevator",5
37,5,3.17317224073421,1,"elevator",5
38,1,4.31824869795254,-1,"elevator",2
38,2,10,0,"elevator",0
38,3,10,0,"elevator",0
38,4,5.23328727475348,1,"elevator",4
38,5,3.276661568217,1,"elevator",5
39,1,3.98194996116827,-1,"elevator",2
39,2,10,0,"elevator",0
39,3,10,0,"elevator",0
39,4,6.4122624698362,1,"elevator",4
39,5,3.38015089569979,1,"elevator",5
40,1,3.64565122438401,-1,"elevator",2
40,2,10,0,"elevator",0
40,3,10,0,"elevator",0
40,4,7.59123766491892,1,"elevator",2
