"time","alg","direction","bus","location","arrive","board"
5,"elevator",1,4,8,8.18339160807289,6.78549165018689
5,"elevator",-1,5,9,18.3723475134222,6.52884818960853
5,"elevator",-1,5,9,22.2196275365842,6.52884818960853
5,"elevator",-1,4,10,24.8642413477627,13.0047984100674
6,"elevator",1,4,1,45.1967874587016,29.761137437196
6,"elevator",1,5,1,35.0301128227513,30.769293232712
6,"elevator",1,5,1,45.9991285557924,30.769293232712
6,"elevator",1,4,2,37.486355306626,31.7390351430494
6,"elevator",1,4,2,40.3467098686944,31.7390351430494
6,"elevator",1,4,2,37.1604945588089,31.7390351430494
6,"elevator",1,4,2,38.5749065993219,31.7390351430494
6,"elevator",-1,4,3,26.7773848562806,22.6093389873552
6,"elevator",-1,4,3,26.7773848562806,22.6093389873552
6,"elevator",1,1,4,23.1596479385385,11.8911874380819
6,"elevator",1,1,4,18.9287204214709,11.8911874380819
6,"elevator",-1,5,6,22.2196275365842,18.3723475134222
6,"elevator",-1,4,6,24.8642413477627,18.8536303465551
6,"elevator",-1,5,7,22.2196275365842,14.2795941343192
6,"elevator",1,4,8,8.18339160807289,6.78549165018689
6,"elevator",-1,5,9,18.3723475134222,6.52884818960853
6,"elevator",-1,5,9,22.2196275365842,6.52884818960853
6,"elevator",-1,5,9,18.3723475134222,6.52884818960853
6,"elevator",-1,4,10,24.8642413477627,13.0047984100674
7,"elevator",1,4,1,45.1967874587016,29.761137437196
7,"elevator",1,5,1,35.0301128227513,30.769293232712
7,"elevator",1,5,1,45.9991285557924,30.769293232712
7,"elevator",1,5,1,35.0301128227513,30.769293232712
7,"elevator",1,5,1,49.9080224799625,30.769293232712
7,"elevator",1,4,2,37.486355306626,31.7390351430494
7,"elevator",1,4,2,40.3467098686944,31.7390351430494
7,"elevator",1,4,2,37.1604945588089,31.7390351430494
7,"elevator",1,4,2,38.5749065993219,31.7390351430494
7,"elevator",-1,4,3,26.7773848562806,22.6093389873552
7,"elevator",-1,4,3,26.7773848562806,22.6093389873552
7,"elevator",1,1,3,23.1596479385385,10.0755920970646
7,"elevator",1,1,4,23.1596479385385,11.8911874380819
7,"elevator",1,1,4,18.9287204214709,11.8911874380819
7,"elevator",-1,5,6,22.2196275365842,18.3723475134222
7,"elevator",-1,4,6,24.8642413477627,18.8536303465551
7,"elevator",-1,5,7,22.2196275365842,14.2795941343192
7,"elevator",-1,4,10,24.8642413477627,13.0047984100674
8,"elevator",1,4,1,45.1967874587016,29.761137437196
8,"elevator",1,5,1,35.0301128227513,30.769293232712
8,"elevator",1,5,1,45.9991285557924,30.769293232712
8,"elevator",1,5,1,35.0301128227513,30.769293232712
8,"elevator",1,5,1,49.9080224799625,30.769293232712
8,"elevator",1,5,1,44.9894978484935,30.769293232712
8,"elevator",1,5,1,51.7937743525134,30.769293232712
8,"elevator",1,4,2,37.486355306626,31.7390351430494
8,"elevator",1,4,2,40.3467098686944,31.7390351430494
8,"elevator",1,4,2,37.1604945588089,31.7390351430494
8,"elevator",1,4,2,38.5749065993219,31.7390351430494
8,"elevator",1,4,2,37.486355306626,31.7390351430494
8,"elevator",-1,4,3,26.7773848562806,22.6093389873552
8,"elevator",-1,4,3,26.7773848562806,22.6093389873552
8,"elevator",1,1,3,23.1596479385385,10.0755920970646
8,"elevator",1,1,4,23.1596479385385,11.8911874380819
8,"elevator",1,1,4,18.9287204214709,11.8911874380819
8,"elevator",-1,5,6,22.2196275365842,18.3723475134222
8,"elevator",-1,4,6,24.8642413477627,18.8536303465551
8,"elevator",-1,5,7,22.2196275365842,14.2795941343192
8,"elevator",-1,4,10,24.8642413477627,13.0047984100674
9,"elevator",1,4,1,45.1967874587016,29.761137437196
9,"elevator",1,5,1,35.0301128227513,30.769293232712
9,"elevator",1,5,1,45.9991285557924,30.769293232712
9,"elevator",1,5,1,35.0301128227513,30.769293232712
9,"elevator",1,5,1,49.9080224799625,30.769293232712
9,"elevator",1,5,1,44.9894978484935,30.769293232712
9,"elevator",1,5,1,51.7937743525134,30.769293232712
9,"elevator",1,4,2,37.486355306626,31.7390351430494
9,"elevator",1,4,2,40.3467098686944,31.7390351430494
9,"elevator",1,4,2,37.1604945588089,31.7390351430494
9,"elevator",1,4,2,38.5749065993219,31.7390351430494
9,"elevator",1,4,2,37.486355306626,31.7390351430494
9,"elevator",-1,4,3,26.7773848562806,22.6093389873552
9,"elevator",-1,4,3,26.7773848562806,22.6093389873552
9,"elevator",1,1,3,23.1596479385385,10.0755920970646
9,"elevator",1,1,4,23.1596479385385,11.8911874380819
9,"elevator",1,1,4,18.9287204214709,11.8911874380819
9,"elevator",-1,5,6,22.2196275365842,18.3723475134222
9,"elevator",-1,4,6,24.8642413477627,18.8536303465551
9,"elevator",-1,5,7,22.2196275365842,14.2795941343192
9,"elevator",-1,4,10,24.8642413477627,13.0047984100674
10,"elevator",1,4,1,45.1967874587016,29.761137437196
10,"elevator",1,5,1,35.0301128227513,30.769293232712
10,"elevator",1,5,1,45.9991285557924,30.769293232712
10,"elevator",1,5,1,35.0301128227513,30.769293232712
10,"elevator",1,5,1,49.9080224799625,30.769293232712
10,"elevator",1,5,1,44.9894978484935,30.769293232712
10,"elevator",1,5,1,51.7937743525134,30.769293232712
10,"elevator",1,5,1,44.9894978484935,30.769293232712
10,"elevator",1,4,2,37.486355306626,31.7390351430494
10,"elevator",1,4,2,40.3467098686944,31.7390351430494
10,"elevator",1,4,2,37.1604945588089,31.7390351430494
10,"elevator",1,4,2,38.5749065993219,31.7390351430494
10,"elevator",1,4,2,37.486355306626,31.7390351430494
10,"elevator",-1,4,3,26.7773848562806,22.6093389873552
